State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Physical_Therapy,Occupational_Therapy,Speech_Pathology,Medical_Social,Home_Health_Aide,Date Certified,star_rating,timely_care,drug_use_training,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot).,improved_breathing,hosp_admission_rate,unplanned_er_care,readmitted_cases
FL,107644,ASA HOME CARE INC,8700 W FLAGLER ST STE 110,MIAMI,33174,3054476516,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,5/9/2001,2,100,96.6,9.6,33.1,28.7,5.3,Not Available
FL,107630,FAMILY HOME HEALTH SERVICES,6829 PORTO FINO CIR  UNIT D,FORT MYERS,33912,2392783447,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,1/12/2001,3.5,95.7,96.8,81.2,70.6,14.8,11.6,Same As Expected
FL,107632,VNA SPACE COAST INC,1600 SARNO ROAD SUITE 201,MELBOURNE,32935,3217527550,Non - Profit Private,TRUE,TRUE,TRUE,TRUE,TRUE,2/20/2001,4.5,99.1,99.7,82.5,81,17.1,12.8,Same As Expected
FL,107634,HPH HOME HEALTH,6807 ROWAN RD,NEW PORT RICHEY,34653,7278171804,Non - Profit Other,TRUE,TRUE,TRUE,TRUE,TRUE,3/27/2001,2.5,98.5,96.2,72,45.6,13.7,7.3,Worse Than Expected
FL,107635,CAPITAL HOME HEALTH CORP,1839 BUFORD CT,TALLAHASSEE,32308,8505534002,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,3/15/2001,1.5,78.8,75.6,59,62.6,24.1,11.9,Same As Expected
FL,107637,GOLDEN AGE HOME CARE INC,8410 W FLAGLER ST STE 207-B,MIAMI,33144,3058240355,Proprietary,TRUE,TRUE,FALSE,TRUE,TRUE,3/20/2001,3.5,95,97.5,0,0,12,10.3,Not Available
FL,107638,FAITH HOME HEALTH INC,3202 N HOWARD AVE,TAMPA,33607,8138765500,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,3/29/2001,5,93.6,99.5,97.3,91.7,12.7,16.2,Not Available
FL,107640,"INTERNATIONAL HOME CARE SERVICES, INC",11440 SW 88TH ST STE 403,MIAMI,33176,3055956566,Proprietary,TRUE,TRUE,FALSE,TRUE,TRUE,3/6/2001,4,98.2,96.8,29.4,65.4,13.8,8.7,Worse Than Expected
FL,107641,KINDRED AT HOME,14400 NW 77TH CT STE 106,MIAMI LAKES,33016,3058215553,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,4/3/2001,5,95.9,100,97.7,88.6,11,11.1,Same As Expected
FL,107643,FLORIDA HOME BOUND MENTAL HEALTH AGENCY INC,1400 NE 125 ST,NORTH MIAMI,33161,3058927272,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,5/1/2001,4,97.2,100,90.2,83.5,24.3,15.2,Not Available
FL,107675,HOME ADVANTAGE HEALTH CARE,5925 SE ABSHIER BLVD,BELLEVIEW,34420,3523479700,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,11/20/2001,4.5,96.3,98.1,67.8,79.3,15.2,11.2,Same As Expected
FL,107650,"HEALTH MED HOME CARE, INC.",735 NW 22 AVENUE,MIAMI,33125,3052077383,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,6/13/2001,2.5,99.2,98.4,60.6,30.6,17.3,7.8,Same As Expected
FL,107651,NIGHTINGALE HOME HEALTHCARE OF FLORIDA INC,550 SW 3RD STREET SUITE 200,POMPANO BEACH,33060,9546579962,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,6/7/2001,3,85.8,99.5,60.5,77.9,13.6,11.1,Same As Expected
FL,107653,THE PALACE AT HOME,10850 SW 113 PLACE,MIAMI,33176,3052752533,Non - Profit Private,TRUE,TRUE,TRUE,TRUE,TRUE,7/11/2001,5,99.6,99.7,64,90.3,14.4,12.8,Same As Expected
FL,107654,"EMPATHY CARE, INC.",4731 W ATLANTIC AVE STE 7,DELRAY BEACH,33445,5613959101,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,6/15/2001,3.5,99.3,99.1,84.8,71.4,13.5,10.6,Same As Expected
FL,107656,BROOKDALE HOME HEALTH SUN CITY,908 AMERICAN EAGLE BLVD,SUN CITY CENTER,33573,8136339150,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,7/25/2001,3,95.8,97,87.1,70.5,20.6,10,Same As Expected
FL,107660,CARE AMERICA HHC,940 CENTRE CIR STE 3006,ALTAMONTE SPRINGS,32714,4074640194,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,7/3/2001,4.5,95,98.6,73,90.3,19.3,11.3,Worse Than Expected
FL,107667,DD HEALTH HOME CARE INC,4150 NW 7TH ST STE 208,MIAMI,33126,3056434747,Proprietary,TRUE,TRUE,FALSE,FALSE,TRUE,9/14/2001,2.5,94.7,99.2,80.3,47.2,18.6,10.5,Not Available
FL,107670,CATHOLIC HOME HEALTH SERVICES OF MIAMI-DADE COUNTY,1050 NE 125TH ST,NORTH MIAMI,33161,3058990400,Non - Profit Religious,TRUE,TRUE,TRUE,TRUE,TRUE,10/17/2001,4,96.1,99.5,87.3,76.6,13.6,11.7,Same As Expected
FL,107671,NURSE ON CALL,6900 TAVISTOCK LAKES BLVD STE 250,ORLANDO,32827,4078524009,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,10/10/2001,3.5,95.7,98.7,75.5,73.9,19.1,9.6,Worse Than Expected
FL,107673,"FAITH HEALTH CARE, INC",11401 SW 40TH ST,MIAMI,33165,3052284800,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,11/7/2001,5,99.1,100,96.5,75.3,13.1,13.6,Same As Expected
FL,107680,FIRST HEALTH SYSTEMS INC,7450 GRIFFIN RD STE 240,DAVIE,33314,9544423424,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,11/20/2001,3,100,100,45.1,43.4,9.5,10.9,Same As Expected
FL,107681,A I T (ALWAYS IN TOUCH) HOME HEALTH INC,6238 PRESIDENTIAL CT STE 1A,FORT MYERS,33919,2393371064,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,12/28/2001,4,95.1,98,74.7,86.8,12.5,3.5,Same As Expected
FL,107682,NURSING SOUTH CORPORATION,9300 SUNSET DR 2ND FLOOR,MIAMI,33173,3052750461,Proprietary,TRUE,TRUE,FALSE,FALSE,TRUE,12/10/2001,3,98.2,100,100,,27.8,0.2,Not Available
FL,107683,"RENACER HOME HEALTH CARE, INC.",14750 NW 77TH CT STE 108,MIAMI LAKES,33016,3058171800,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,1/18/2002,2.5,90.9,89.6,46.7,73.3,12.2,10.4,Same As Expected
FL,107684,KINDRED AT HOME,2417 NORTH LECANTO HWY,LECANTO,34461,3527465010,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,1/25/2002,3.5,91.8,98.8,79.6,72.4,13.7,11.7,Same As Expected
FL,107685,COMFORT HOME HEALTH AGENCY INC,"3515 PALM HARBOR BLVD, STE A",PALM HARBOR,34683,7277865850,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,2/1/2002,5,99.1,100,80.2,81.8,14.3,8.2,Same As Expected
FL,107686,FAMILY HOME HEALTH SERVICES,2326 S CONGRESS AVE STE 2D,WEST PALM BEACH,33406,5618554700,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,1/31/2002,3.5,97.9,94.6,86.3,67.8,15.7,10.9,Same As Expected
FL,107687,KINDRED AT HOME,10161 CENTURION PKWY NORTH STE 111,JACKSONVILLE,32256,9047304640,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,2/7/2002,3,90.3,99.1,82.6,74.8,20.4,10.2,Worse Than Expected
FL,107690,SUNCREST OMNI,4359 S SUNCOAST BLVD,HOMOSASSA,34446,3526284900,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,2/14/2002,4,97.4,97.1,76.9,81.1,17.1,10.5,Worse Than Expected
FL,107691,QUALI-CARE HOME HEALTH AGENCY,18001 OLD CUTLER RD STE 454,PALMETTO BAY,33157,3052323979,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,2/26/2002,2.5,87,96.2,62.9,59.2,14.1,14.6,Not Available
FL,107725,DOCTORS CHOICE-JACKSONVILLE LLC,1536 KINGSLEY AVE STES 122 AND 123,ORANGE PARK,32073,9042696868,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,9/13/2002,4,95.3,99.4,83,80.2,18.9,10.1,Worse Than Expected
FL,107694,PRINCIPLE HEALTH SERVICES,11440 N KENDALL DR STE 500,MIAMI,33176,3055917774,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,2/27/2002,4,94.7,100,98.2,,16.4,10.9,Not Available
FL,107697,GOLDENCARE HOME HEALTH AGENCY INC,760 PONCE DE LEON BLVD SUITE 107,CORAL GABLES,33134,3055532553,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,4/3/2002,3,98.9,97.9,41,62.2,18.6,10.7,Same As Expected
FL,107698,CORAL HOME CARE INC,3785 NW 82 AVE STE 217,MIAMI,33166,3056441819,Proprietary,TRUE,TRUE,FALSE,FALSE,TRUE,12/12/2001,4,99.4,98.5,68.9,55.1,9.5,2.6,Not Available
FL,107699,GENESIS HOME HEALTH INC,1195 NE 125TH ST,NORTH MIAMI,33161,3057575999,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,4/16/2002,2,76.9,97.5,10.8,73.3,13.6,7.5,Not Available
FL,107700,MEDERI CARETENDERS,7330 LITTLE ROAD STE 101,NEW PORT RICHEY,34654,7278443615,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,4/30/2002,4,97.2,99.6,66.4,85.2,21.5,9.1,Worse Than Expected
FL,107702,AFTERCARE NURSING SERVICES INC,1705 14TH AVE,VERO BEACH,32960,7724601072,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,5/7/2002,4.5,99.1,99.1,81.5,74.9,13.6,12.4,Same As Expected
FL,107703,COMMUNITY HOME HEALTH CARE SERVICES LLC,707 60TH ST CT E STE C,BRADENTON,34208,9417085142,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,5/31/2002,2.5,85.8,77.2,62.3,73,,,Not Available
FL,107704,TEHC LLC,8375 DIX ELLIS TRL STE 407,JACKSONVILLE,32256,9047221112,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,6/11/2002,3,78.7,100,59.6,54.8,22.5,3.3,Same As Expected
FL,107705,"D'FIRST HOME CARE, INC.",13060 SW 133 CT,MIAMI,33186,3052718883,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,4/23/2002,2,92.6,94.7,23.4,52.5,,,Not Available
FL,107727,CAIRO HOME CARE - DADE,6500 COW PEN RD STE 304 & 305,MIAMI LAKES,33014,3058273667,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,9/10/2002,4,93.2,98.8,73.6,36.2,12.6,5.3,Same As Expected
FL,107728,ADVANCED NURSING CONCEPTS LLC,1599 TROPICAL COURT,TAVARES,32778,3527429856,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,9/18/2002,4,98.8,100,72.2,70.7,17.7,12.8,Same As Expected
FL,107747,"ANCHOR HOME HEALTH SERVICES, LLC",3725 SE OCEAN BLVD STE 205,STUART,34996,7723350575,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,12/18/2002,3.5,98.9,98.7,74.9,74.2,18.5,12.2,Same As Expected
FL,107792,KINDRED AT HOME,5111 N 12TH AVE STE A,PENSACOLA,32504,8504348662,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,8/26/2003,3.5,87.6,98.5,84.3,81.4,18.4,13.1,Worse Than Expected
FL,107710,SARASOTA MEMORIAL HOMECARE,6075 RAND BLVD SUITE 3,SARASOTA,34238,9419177730,Non - Profit Private,TRUE,TRUE,TRUE,TRUE,TRUE,7/1/2002,5,98.5,100,91.2,81.5,13.1,13.2,Same As Expected
FL,107711,"GENTLE CARE, INC.",1790 SW 27 AVE,MIAMI,33135,3054769316,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,5/30/2002,3.5,100,99.6,30,40.6,17.6,10.4,Worse Than Expected
FL,107712,M F HOME CARE SERVICES INC,7141 N WATERWAY DR,MIAMI,33155,3056624175,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,6/25/2002,2.5,100,100,2,11,29.6,9.7,Same As Expected
FL,107713,ANGEL HOME CARE SERVICES INC,12955 SW 42 ST #104,MIAMI,33175,3052204544,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,6/20/2002,3,87.2,93.5,17.4,,15.3,7.4,Not Available
FL,107714,TRILOGY HOME HEALTHCARE,1645 PALM BEACH LAKES BLVD STE 700,WEST PALM BEACH,33407,5619046564,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,7/15/2002,4.5,39.2,97.2,83.6,93.2,12.3,10,Same As Expected
FL,107716,SUNRISE HOME HEALTH & SUPPLIES LLC,22110 KIMBLE AVE,PORT CHARLOTTE,33952,9412351722,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,8/8/2002,3,81.8,87.8,62.8,77.7,18,12.1,Same As Expected
FL,107717,TEHC LLC,1971 LEE RD STE 100,WINTER PARK,32789,4076281114,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,7/31/2002,3.5,99.1,97.5,74.3,77.6,19,9.7,Worse Than Expected
FL,107718,TEHC LLC,1264 US HIGHWAY 1 STE 103,ROCKLEDGE,32955,3214535535,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,8/8/2002,3.5,99,96.4,87.2,69.6,15.7,15.2,Same As Expected
FL,107720,CORNERSTONE HOME CARE,484 SW COMMERCE DRIVE STE 101,LAKE CITY,32025,3863446935,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,8/15/2002,3.5,98.6,99.3,77,78.6,20.5,9.2,Worse Than Expected
FL,107723,WELL DONE HOME CARE INC,10250 NORMANDY BLVD STE 502,JACKSONVILLE,32221,9046934516,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,9/5/2002,3.5,96.6,97.1,78.6,75.9,20.6,8.4,Worse Than Expected
FL,107731,SEBASTIAN RIVER HOME HEALTH,989 SEBASTIAN BLVD,SEBASTIAN,32958,7726639481,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,10/9/2002,4,95.3,99,81.4,74.7,20.9,6.8,Worse Than Expected
FL,107736,BETTER @ HOME,1333 SE 25TH LOOP STE 102,OCALA,34471,3526948100,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,10/31/2002,3.5,96.3,75.1,68.2,81.9,14.9,10.7,Same As Expected
FL,107738,VISITING NURSE ASSOCIATION OF FLORIDA INC,1124 BUCKHEAD RIDGE RD,OKEECHOBEE,34974,9413661929,Non - Profit Other,TRUE,TRUE,FALSE,FALSE,TRUE,11/4/2002,4.5,89.5,97.2,92.1,82.5,,,Same As Expected
FL,107739,KINDRED AT HOME,2600 MAITLAND CENTER PKWY STE 162,MAITLAND,32751,4076443532,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,11/25/2002,4.5,95.1,99.2,87.9,95.8,18.1,8.3,Same As Expected
FL,107742,BAYFRONT HOME HEALTH SERVICES,603 SEVENTH STREET S STE 430,SAINT PETERSBURG,33701,7273508575,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,12/4/2002,3.5,95.6,98.8,80.8,69.5,19.6,10.2,Same As Expected
FL,107743,EMAL PROFESSIONAL SERVICE,3100 NW 72ND AVE STE 104,MIAMI,33122,3055929515,Proprietary,TRUE,TRUE,FALSE,TRUE,TRUE,11/22/2002,3.5,98.4,100,1.6,44.7,19.1,7.3,Same As Expected
FL,107748,T L C HEALTH SERVICES INC,8500 W FLAGLER ST STE 106A,MIAMI,33144,3052228488,Proprietary,TRUE,TRUE,FALSE,FALSE,TRUE,12/19/2002,4.5,97.2,91.9,91.1,75.7,10.8,9,Not Available
FL,107749,SOUTHWEST FLORIDA HOME CARE INC,9101 W COLLEGE POINTE DR STE 2,FORT MYERS,33919,2392755233,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,12/31/2002,4.5,99.5,99.4,73.6,77.1,14.6,10.8,Same As Expected
FL,107752,UNS UNITED NURSING SERVICES,1897 PALM BEACH LAKES BLVD STE 213,WEST PALM BEACH,33409,5614788788,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,1/16/2003,3,99.6,98.3,76,59.5,15.2,11,Same As Expected
FL,107762,SOUTHEAST HOMECARE,"7719 NW 48 ST STES 230, 330 & 340",DORAL,33166,7865072400,Government - State/ County,TRUE,TRUE,TRUE,TRUE,TRUE,4/15/2003,3.5,93.4,99.2,54.4,89.9,23.6,4.6,Same As Expected
FL,107767,CARE FORCE INC,5801 NW 151 ST STE 304,MIAMI LAKES,33014,3053624980,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,4/23/2003,4,98.6,89.7,56.1,84.6,13.9,8,Same As Expected
FL,107768,BAYADA HOME HEALTH CARE INC,13630 58TH ST N STE 103B,CLEARWATER,33760,7275301201,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,4/16/2003,4,99.3,99.7,87.2,73.1,17.4,7.9,Same As Expected
FL,107769,"TOTAL NURSING SERVICES, INC.",5951 NW 173 DR STE 11,MIAMI,33015,3053621211,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,4/22/2003,3,96.4,91.4,12.1,56.6,22.1,15.5,Same As Expected
FL,107770,"REAL BEST HOME HEALTH SERVICES, INC",2711 SW 137TH AVE STE 90,MIAMI,33175,3052206309,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,5/13/2003,4.5,91.8,100,90.7,64,15.5,5.2,Not Available
FL,107774,CARTER HEALTHCARE,3690 E BAY DR UNIT T-U1,LARGO,33771,7277267400,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,5/28/2003,4.5,94.4,99.9,87.6,85.5,18.8,9.7,Same As Expected
FL,107775,CERTIFIED HOMECARE OF SOUTH FLORIDA,100 NE THIRD AVE STE 490,FORT LAUDERDALE,33301,9549666665,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,5/22/2003,3,93.1,98.4,64.3,76.6,17.3,10.2,Same As Expected
FL,107776,BAYADA HOME HEALTH CARE INC,129 S PEBBLE BEACH BLVD STE 103,SUN CITY CENTER,33573,8132896900,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,5/29/2003,4,96.3,99.5,87.4,76.4,15.6,9.8,Same As Expected
FL,107777,CAPRI HOME CARE,3023 EASTLAND BLVD STE 103,CLEARWATER,33761,7277231800,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,5/28/2003,4,94.4,99.5,96.3,96.1,21.6,7,Same As Expected
FL,107778,CARTER HEALTHCARE,640 CLASSIC CT STE 102,MELBOURNE,32940,3212428228,Proprietary,TRUE,TRUE,TRUE,FALSE,FALSE,6/4/2003,5,95.9,99.9,93.4,87.6,16.9,16.1,Worse Than Expected
FL,107780,PINES HOME HEALTH CARE SERVICES INC,5400 S UNIVERSITY DR  STE 409,DAVIE,33328,9546803898,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,6/10/2003,4.5,99.4,95.8,80,89.8,14.7,11.1,Same As Expected
FL,107781,FLORIDAS CHOICE HOME CARE,1255 STATE RD 60 E STE 600,LAKE WALES,33856,8636761519,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,6/25/2003,4,95.3,99.2,77.3,84.6,16.8,10.7,Worse Than Expected
FL,107785,"USA HOME HEALTH SERVICES, INC.",5300 W ATLANTIC AVE STE 300,DELRAY BEACH,33484,5614826646,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,7/10/2003,3.5,99.7,98.1,81.4,64.1,16.7,10.6,Same As Expected
FL,107786,CLASSIC HOME HEALTH SERVICES,1504 SOUTH STREET,LEESBURG,34748,3523141885,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,7/17/2003,3,92.4,96.4,75,70.4,14.7,10.8,Same As Expected
FL,107787,MEDICAL SERVICES OF AMERICA HOME HEALTH,13201 WALSINGHAM RD STE 101,LARGO,33774,7275396116,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,7/29/2003,3.5,92.3,91.1,57.3,81.3,24.4,8.2,Worse Than Expected
FL,107789,JOYAL HEALTH CARE SERVICES INC,9905 ST AUGUSTINE RD STE 503,JACKSONVILLE,32257,9044481025,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,8/14/2003,5,100,100,100,87.7,18.7,8.6,Same As Expected
FL,107791,TENDER TOUCH HEALTH CARE SERVICES,217 E 23RD ST STE E,PANAMA CITY,32405,8509131500,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,9/10/2003,4.5,96.5,99.9,92.2,82.3,18,12,Same As Expected
FL,107793,"PROFESSIONAL HOME SERVICES, INC.","6001 NW 153RD ST, STE 152",MIAMI LAKES,33014,3058271211,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,9/19/2003,2.5,95.4,97.7,59.1,46.2,14,12.8,Same As Expected
FL,107794,CARTER HEALTHCARE,5585 MARQUESAS CIRCLE,SARASOTA,34233,9419292369,Proprietary,TRUE,TRUE,FALSE,TRUE,TRUE,9/11/2003,3.5,93.1,98.3,78.7,65.9,16,12.9,Same As Expected
FL,107797,PINNACLE HOME CARE INC,2505 SEVEN SPRINGS BLVD,TRINITY,34655,7278461919,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,10/15/2003,3,99.2,99.4,81.5,54.6,16.3,6.5,Same As Expected
FL,108000,COMPREHENSIVE HOME CARE OF HERNANDO LLC,10109 CORTEZ BLVD,BROOKSVILLE,34613,3526884020,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,10/2/2003,4,92.5,98.5,75.4,79.1,15.3,11.3,Same As Expected
FL,108001,ANCHOR HOMECARE,103 HWY 71 NORTH,WEWAHITCHKA,32465,8502273331,Proprietary,TRUE,FALSE,TRUE,FALSE,TRUE,11/7/2003,4,99.1,99.1,74.8,66.4,18.7,14.2,Same As Expected
FL,108002,DIAMOND HOME HEALTH,1240 MARBELLA PLAZA DR STE 120,TAMPA,33619,8133412775,Non - Profit Private,TRUE,TRUE,TRUE,TRUE,TRUE,11/26/2003,3.5,100,97.1,44,62.2,18.9,13.7,Same As Expected
FL,108003,FAMILY HOME HEALTH SERVICES,5460 63RD ST E,BRADENTON,34203,9417397748,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,4/11/2003,3.5,90.6,98.5,87.1,64.2,17.5,9.8,Worse Than Expected
FL,108007,INTERIM HEALTHCARE OF LAKELAND INC,1525 S FLORIDA AVE STE 3,LAKELAND,33803,8636198822,Proprietary,TRUE,TRUE,FALSE,TRUE,TRUE,12/4/2003,3.5,92.8,99.3,78.1,71.3,29.4,2.7,Worse Than Expected
FL,108009,FIRSTAT NURSING SERVICES-WEST PALM BEACH,5601 CORPORATE WAY STE 404,WEST PALM BEACH,33407,5616849000,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,12/9/2003,4,99.4,96.9,72.9,80.9,18,14,Same As Expected
FL,108010,SUWANNEE MEDICAL PERSONNEL,1852 SW BARNETT WAY   STE 103,LAKE CITY,32055,3867551544,Proprietary,TRUE,TRUE,FALSE,TRUE,TRUE,12/22/2003,3.5,90,99.4,88.1,75.8,20.3,11.8,Same As Expected
FL,108012,CARTER HEALTHCARE,190 GLADES RD STE F,DEERFIELD BEACH,33443,5612729494,Proprietary,TRUE,TRUE,TRUE,FALSE,FALSE,12/30/2003,5,97.3,99.5,93,83.7,14.7,8.5,Same As Expected
FL,108013,NURSE ON CALL,8771 COLLEGE PKWY STE 101 BLDG 1,FORT MYERS,33919,2395903018,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,12/16/2003,3.5,93.2,96.3,79.6,75.5,15.4,12.3,Worse Than Expected
FL,108014,MEDERI CARETENDERS,474 SOUTH NORTHLAKE BLVD,ALTAMONTE SPRINGS,32701,4076611963,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,12/15/2003,4,94.1,98,74.6,78.9,18.1,10.7,Same As Expected
FL,108015,AAA HOME HEALTH SERVICES INC,2929 SW 3RD AVE STE 520,MIAMI,33169,3058568003,Proprietary,TRUE,TRUE,FALSE,FALSE,TRUE,11/24/2003,2.5,94.2,92.3,38.5,55.1,,,Not Available
FL,108019,FUSION HEALTHCARE,550 N REO STREET #109,TAMPA,33609,8136365017,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,1/28/2004,4.5,97.7,97.7,68.9,90.8,16.2,13,Same As Expected
FL,108020,"GUARDIAN CARE SERVICES OF BROWARD, INC.",2000 NW 150TH AVE STE 2000,PEMBROKE PINES,33028,9544380005,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,1/27/2004,4.5,97.2,99.6,70.4,78.4,14.1,12.1,Same As Expected
FL,108021,PREMIUM HOME HEALTH CARE INC,2760 SW 97TH AVE APT 107,MIAMI,33165,3052222260,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,1/29/2004,2.5,100,98.5,94,20.1,19.4,7.2,Not Available
FL,108022,PALM GARDEN HOME HEALTH,2003 BARTOW RD,LAKELAND,33801,8636835010,Proprietary,TRUE,TRUE,FALSE,TRUE,TRUE,1/27/2004,3.5,99.2,100,70,60.3,22.4,10.3,Same As Expected
FL,108026,SWEET CARE HOME HEALTH AGENCY INC,6447 MIAMI LAKES DR E STE 203B,MIAMI,33014,3054688747,Proprietary,TRUE,FALSE,FALSE,FALSE,TRUE,2/10/2004,4.5,99.2,100,44.9,21.8,11,4.2,Not Available
FL,108027,NIRVANA HEALTH SERVICES INC,428 N DONNELY ST STE 5,MOUNT DORA,32757,3523148844,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,2/9/2004,2.5,93.1,94.9,73.2,62.6,,,Not Available
FL,108029,MEDERI CARETENDERS,3806 MANATEE AVE W STE 100,BRADENTON,34205,9413606974,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,2/11/2004,4.5,99.6,99.3,79.2,88.8,14.5,10.7,Same As Expected
FL,108030,MEDERI CARETENDERS,3800 W EAU GALLIE BLVD STE 103,MELBOURNE,32934,3213080321,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,2/2/2004,4.5,96,97.4,80.9,93.6,15,9.7,Worse Than Expected
FL,108031,ALEYDA'S HOME CARE INC,1205 71ST ST,MIAMI,33141,3058618848,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,2/12/2004,4.5,100,100,5.1,100,16.2,10.2,Not Available
FL,108032,CONFIDENT CARE OF FLORIDA CORP,20601 EAST DIXIE HWY STE 360,AVENTURA,33180,3059339337,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,3/4/2004,3,95.2,97,74.3,65.3,19.5,13.3,Same As Expected
FL,108037,PINNACLE HOME HEALTHCARE INC,7041 GRAND NATIONAL DR  STE 212,ORLANDO,32819,4073516330,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,3/17/2004,3.5,97.1,96.2,81.3,78.1,15.8,11.8,Same As Expected
FL,108039,FIRSTAT NURSING SERVICES,1801 LEE RD STE 130,WINTER PARK,32789,4076291100,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,2/23/2004,3.5,96.4,98.8,68.7,81.2,19.2,9.1,Same As Expected
FL,108040,MEDICAL SERVICES OF AMERICA HOME HEALTH,1209 TECH BLVD STE 202,TAMPA,33619,8136269888,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,4/1/2004,3,92.8,89,77.2,66.9,15.7,10.1,Same As Expected
